id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
155,1,1,1,http://hotel.beihua.edu.cn,hotel.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
42,1,1,1,https://houqin.beihua.edu.cn,houqin.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,后勤保障部,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
98,1,1,1,http://houqin.beihua.edu.cn,houqin.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,后勤保障部,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
135,1,1,1,https://hqc.beihua.edu.cn,hqc.beihua.edu.cn,1,hqc.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Brute
162,1,1,1,http://hqc.beihua.edu.cn,hqc.beihua.edu.cn,1,hqc.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,Brute
109,1,1,1,https://huashengshiyan.beihua.edu.cn,huashengshiyan.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
159,1,1,1,http://huashengshiyan.beihua.edu.cn,huashengshiyan.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
93,1,1,1,https://imc.beihua.edu.cn,imc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学信息化中心,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,SiteDossierQuery
150,1,1,1,http://imc.beihua.edu.cn,imc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学信息化中心,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,SiteDossierQuery
13,1,1,1,https://jcc.beihua.edu.cn,jcc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学计划财务处,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
25,1,1,1,http://jcc.beihua.edu.cn,jcc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学计划财务处,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
104,1,1,1,https://jgdw.beihua.edu.cn,jgdw.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
170,1,1,1,http://jgdw.beihua.edu.cn,jgdw.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,404,Not Found,404错误提示,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,RapidDNSQuery
47,0,1,1,https://jjc.beihua.edu.cn,jjc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,0,443,502,Bad Gateway,访问出错 - 502,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
48,0,1,1,http://jjc.beihua.edu.cn,jjc.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,0,80,502,Bad Gateway,访问出错 - 502,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,IP138Query
26,1,1,1,https://jjw.beihua.edu.cn,jjw.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,443,200,OK,北华大学纪委,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
34,1,1,1,http://jjw.beihua.edu.cn,jjw.beihua.edu.cn,1,www.beihua.edu.cn,175.16.216.46,1,1,80,200,OK,北华大学纪委,none,175.16.0.0/13,AS4837,China Unicom,中国吉林省吉林市,联通,MySSLQuery
